井号,钻头型号,钻头类别,钻头尺寸mm,生产厂家,钻进方式,入井时间,入井次数,地层信息,起始井深,结束井深,进尺,纯钻时间,机械钻速,钻井液密度,钻压,转速,排量,泵压,起始地层,结束地层,钻压A,钻压B,转速A,转速B,排量A,排量B,泵压A,泵压B
大页1H3-1,SD6542B,PDC,311.20,渤海中成,复合钻进,2024-12-20,1,雷五段~嘉二3段,2725,3379,654,46,14.22,1.33,20~200,40~40,55~26,20~26,雷五段,嘉二3段,20,200,40,40,55,26,20,26
大页1H3-1,SD6532ZC,PDC,215.90,中成,复合钻进,2024-12-26,1,嘉二3段~飞三段,3379,4030,651,84,7.75,1.90,100~130,40~50,34~34,22~34,嘉二3段,飞三段,100,130,40,50,34,34,22,34
大页1H3-1,DD506VX,PDC,215.90,贝克休斯,复合钻进,2025-03-31,1,飞三段~飞三段,4030,4120,90,18,5,1.90,150~160,50~80,28~33,25~33,飞三段,飞三段,150,160,50,80,28,33,25,33
大页1H3-1,DD505VXS,PDC,215.90,贝克休斯,复合钻进,2025-04-03,1,飞三段~大隆组,4120,4603,483,72.50,6.66,1.90,120~170,60~80,28~35,25~35,飞三段,大隆组,120,170,60,80,28,35,25,35
大页1H3-1,MDI516UBPXG,PDC,215.90,史密斯,复合钻进,2025-04-09,1,大隆组~飞一段,4603,4737,134,73,1.84,1.90,130~170,60~70,30~35,35~35,大隆组,飞一段,130,170,60,70,30,35,35,35
大页1H3-1,DD505VSX,PDC,215.90,贝克休斯,螺杆钻进,2025-04-14,1,吴家坪~吴家坪,4737,4935,198,30,6.60,1.90,120~140,60~80,28~35,28~35,吴家坪,吴家坪,120,140,60,80,28,35,28,35
大页1H3-1,535CG,牙轮,660.40,宝石机械,顶驱钻,2024-11-27,1,沙二段~沙二段,0,50,50,5,10,1.07,30~30,60~60,70~5,5~5,沙二段,沙二段,30,30,60,60,70,5,5,5
大页1H3-1,SD6647VZ,PDC,444.50,渤海中成,螺杆钻进,2024-11-29,1,沙二段~沙二段,50,509,459,20,22.95,1.07,150~150,60~60,65~12,12~12,沙二段,沙二段,150,150,60,60,65,12,12,12
大页1H3-1,NT516S,PDC,215.90,史密斯,螺杆钻进,2025-04-19,1,吴家坪~飞一段,4935,6049,1114,122,9.13,1.90,120~140,60~70,28~35,31~35,吴家坪,飞一段,120,140,60,70,28,35,31,35
大页1H3-1,NT516S,PDC,215.90,史密斯,螺杆钻进,2025-04-28,1,吴家坪~飞一段,6049,6680,631,74,8.53,1.90,120~140,70~70,30.5~36,34~36,吴家坪,飞一段,120,140,70,70,30.5,36,34,36
大页1H3-2,SD6542B,PDC,311.20,渤海中成,复合钻进,2025-01-04,1,沙溪庙组~自流井组,521,2252.20,1731.20,94.50,18.32,1.35,160~180,60~60,55~13,13~13,沙溪庙组,自流井组,160,180,60,60,55,13,13,13
